Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Vaudagne;87746727;74310;0.0;394;394;213;213;159;159
Veauche - Saint-Galmier;87726208;42340;0.0;88116;88116;76323;76323;72299;72299
Verneuil-sur-Serre;87297119;2000;0.0;4606;4606;8008;8008;6503;6503
Vienne;87722587;38200;0.06000000000000012;2266354;2411015;2063036;2194719;1956515;2081399
Villeneuve-la-Comtesse;87491258;17330;0.0;1618;1618;1274;1274;867;867
Villenouvelle;87618215;31290;0.0;28046;28046;29151;29151;26687;26687
Abbeville;87317362;80100;0.1799999999999999;1024704;1249639;922376;1124849;841557;1026289
Ablon-sur-Seine;87545269;94480;0.0;1412566;1412566;1280926;1280926;1203692;1203692
Albigny - Neuville;87721266;69250;0.00999999999999997;402091;406152;356709;360312;331589;334939
Alès;87775288;30100;0.2;569006;711257;575865;719832;512188;640235
Arnèke;87281121;59285;0.0;147778;147778;128509;128509;122187;122187
Aurillac;87645002;15000;0.0;204937;204937;159078;159078;133725;133725
Beautiran;87582700;33640;0.2;402628;503285;379553;474441;345518;431898
Belz - Ploemel;87476408;56550;0.0;4508;4508;3750;3750;3106;3106
Bidos;87691949;64400;0.0;7950;7950;6647;6647;5185;5185
Bondy;87113407;93140;0.0;17136438;17136438;15540271;15540271;14605023;14605023
Bonneval;87545731;28800;0.0;131013;131013;89288;89288;66356;66356
Bouffémont - Moisselles;87276485;95570;0.0;1133662;1133662;1027928;1027928;1043644;1043644
Broye;87694166;71190;0.0;5336;5336;3590;3590;6581;6581
Cahors;87613000;46000;0.1999999999999999;520552;650691;531233;664041;446653;558317
Castelsarrasin;87611897;82100;0.0;119909;119909;123213;123213;114255;114255
Cérons;87582742;33720;0.1999999999999999;451017;563771;430947;538684;382657;478322
Chamousset;87741231;73390;0.0;46635;46635;44861;44861;38042;38042
Champigneulles;87141085;54250;0.0;23316;23316;22816;22816;24859;24859
